"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","123"
"eastern cape","Public Health","2496"
"free state","Private Health","16"
"free state","Public Health","759"
"gauteng","Private Health","476"
"gauteng","Public Health","1370"
"kwazulu-natal","Private Health","120"
"kwazulu-natal","Public Health","1414"
"limpopo","Private Health","147"
"limpopo","Public Health","1045"
"mpumalanga","Private Health","27"
"mpumalanga","Public Health","1140"
"northern cape","Private Health","11"
"northern cape","Public Health","205"
"north west","Private Health","88"
"north west","Public Health","254"
"western cape","Private Health","207"
"western cape","Public Health","737"
